YEAR_MONTH,PRESENTATION_BNF,PRESENTATION_BNF_DESCR,ITEMS,TOTAL QUANTITY
201910,0403030E0AAALAL,Fluoxetine 10mg capsules,13,361
201910,0403030E0AAAPAP,Fluoxetine 10mg tablets,529,17419
201910,0403030E0AAAAAA,Fluoxetine 20mg capsules,835,47041
201910,0403030E0AAACAC,Fluoxetine 20mg/5ml oral solution,71,5880
201910,0403030E0AAAHAH,Fluoxetine 20mg/5ml oral solution sugar free,15,1330
201910,0403030E0AAANAN,Fluoxetine 40mg capsules,2,116
201910,0212000M0AAAAAA,Fluvastatin 20mg capsules,1,60
201911,0403030E0AAALAL,Fluoxetine 10mg capsules,100,3015
201911,0403030E0AAAPAP,Fluoxetine 10mg tablets,192,6177
201911,0403030E0AAAAAA,Fluoxetine 20mg capsules,896,46663
201911,0403030E0AAACAC,Fluoxetine 20mg/5ml oral solution,10,700
201911,0403030E0AAAHAH,Fluoxetine 20mg/5ml oral solution sugar free,5,350
201911,0403030E0AAANAN,Fluoxetine 40mg capsules,1,30
201912,0403030E0AAALAL,Fluoxetine 10mg capsules,140,4815
201912,0403030E0AAAPAP,Fluoxetine 10mg tablets,49,1739
201912,0403030E0AAAAAA,Fluoxetine 20mg capsules,312,15020
201912,0402010J0AAAIAI,Haloperidol 500microgram tablets,26,1440
201912,0402010J0AAAKAK,Haloperidol 5mg tablets,1,112
202001,0403030E0AAALAL,Fluoxetine 10mg capsules,26,830
202001,0403030E0AAAPAP,Fluoxetine 10mg tablets,6,183
202001,0403030E0AAAAAA,Fluoxetine 20mg capsules,87,4509
202001,0402010J0AAAAAA,Haloperidol 500microgram capsules,4,224
202001,0402010J0AAAIAI,Haloperidol 500microgram tablets,558,26852
202001,0402010J0AAAKAK,Haloperidol 5mg tablets,7,279
202001,0402010J0BEAAAA,Serenace 500microgram capsules,1,90
202002,0403030E0AAALAL,Fluoxetine 10mg capsules,12,472
202002,0403030E0AAAPAP,Fluoxetine 10mg tablets,2,60
202002,0403030E0AAAAAA,Fluoxetine 20mg capsules,18,768
202002,0402010J0AAAAAA,Haloperidol 500microgram capsules,1,14
202002,0402010J0AAAIAI,Haloperidol 500microgram tablets,639,31552
202002,0402010J0AAAKAK,Haloperidol 5mg tablets,17,957
202003,190201000AABLBL,Exception Handler Unspecified Item,1,56
202003,0403030E0AAALAL,Fluoxetine 10mg capsules,85,3012
202003,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,30
202003,0403030E0AAAAAA,Fluoxetine 20mg capsules,1,30
202003,0402010J0AAAAAA,Haloperidol 500microgram capsules,1,56
202003,0402010J0AAAIAI,Haloperidol 500microgram tablets,568,28387
202004,0403030E0AAALAL,Fluoxetine 10mg capsules,270,8041
202004,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,30
202004,0402010J0AAALAL,Haloperidol 10mg tablets,1,56
202004,0402010J0AAAAAA,Haloperidol 500microgram capsules,1,28
202004,0402010J0AAAIAI,Haloperidol 500microgram tablets,180,11043
202005,0403030E0AAALAL,Fluoxetine 10mg capsules,310,9511
202005,0403030E0AAAAAA,Fluoxetine 20mg capsules,435,25932
202005,0402010J0AAAAAA,Haloperidol 500microgram capsules,3,126
202005,0402010J0AAAIAI,Haloperidol 500microgram tablets,119,7028
202005,0402010J0AAAKAK,Haloperidol 5mg tablets,1,84
202006,0403030E0AAALAL,Fluoxetine 10mg capsules,370,11648
202006,0403030E0AAAAAA,Fluoxetine 20mg capsules,1619,90654
202006,0403030E0AAANAN,Fluoxetine 40mg capsules,26,622
202006,0402010J0AAAIAI,Haloperidol 500microgram tablets,1,12
202007,0403030E0AAALAL,Fluoxetine 10mg capsules,374,11633
202007,0403030E0AAAAAA,Fluoxetine 20mg capsules,1767,101141
202008,0403030E0AAALAL,Fluoxetine 10mg capsules,311,9330
202008,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,30
202008,0403030E0AAAAAA,Fluoxetine 20mg capsules,1680,92586
202008,0403030E0AAANAN,Fluoxetine 40mg capsules,1,60
202009,0403030E0AAALAL,Fluoxetine 10mg capsules,312,9734
202009,0403030E0AAAPAP,Fluoxetine 10mg tablets,5,168
202009,0403030E0AAAAAA,Fluoxetine 20mg capsules,1516,89730
202010,0403030E0AAALAL,Fluoxetine 10mg capsules,449,15569
202010,0403030E0AAAAAA,Fluoxetine 20mg capsules,884,51828
202010,0403030E0AAANAN,Fluoxetine 40mg capsules,1,14
202010,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,684,93649
202010,0105010E0AAAAAA,Sulfasalazine 500mg tablets,6,392
202011,21120000132,AirZone peak flow meter standard range,1,1
202011,0403030E0AAALAL,Fluoxetine 10mg capsules,644,30245
202011,0403030E0AAAPAP,Fluoxetine 10mg tablets,2,60
202011,0403030E0AAAAAA,Fluoxetine 20mg capsules,378,17381
202011,0105010E0BBABAB,Salazopyrin EN-Tabs 500mg,1,112
202011,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,3028,410446
202011,0105010E0AAAAAA,Sulfasalazine 500mg tablets,1,140
202012,0403030E0AAALAL,Fluoxetine 10mg capsules,858,41971
202012,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,28
202012,0403030E0AAAAAA,Fluoxetine 20mg capsules,482,20437
202012,0403030E0AAAMAM,Fluoxetine 30mg capsules,1,60
202012,0105010E0BBAAAA,Salazopyrin 500mg tablets,3,336
202012,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,3269,440775
202012,0105010E0AAAAAA,Sulfasalazine 500mg tablets,11,1848
202101,0403030E0AAALAL,Fluoxetine 10mg capsules,841,37713
202101,0403030E0AAAAAA,Fluoxetine 20mg capsules,553,24778
202101,0403030E0AAAMAM,Fluoxetine 30mg capsules,2,38
202101,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,2040,278103
202101,0105010E0AAAAAA,Sulfasalazine 500mg tablets,8,1848
202102,0403030E0AAALAL,Fluoxetine 10mg capsules,861,42342
202102,0403030E0AAAPAP,Fluoxetine 10mg tablets,3,44
202102,0403030E0AAAAAA,Fluoxetine 20mg capsules,2154,118552
202102,0602010V0AABWBW,Levothyroxine sodium 25microgram tablets,593,10439
202102,0105010E0BBABAB,Salazopyrin EN-Tabs 500mg,1,42
202102,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,2767,370085
202103,0403030E0AAALAL,Fluoxetine 10mg capsules,1105,49351
202103,0403030E0AAAPAP,Fluoxetine 10mg tablets,2,112
202103,0403030E0AAAAAA,Fluoxetine 20mg capsules,3188,179480
202103,0403030E0AAAMAM,Fluoxetine 30mg capsules,3,230
202103,0602010V0AABWBW,Levothyroxine sodium 25microgram tablets,767,15211
202103,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,1482,207183
202104,0403030E0AAALAL,Fluoxetine 10mg capsules,1116,50034
202104,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,28
202104,0403030E0AAAAAA,Fluoxetine 20mg capsules,3005,168358
202104,0403030E0AAAMAM,Fluoxetine 30mg capsules,3,354
202104,0602010V0AABWBW,Levothyroxine sodium 25microgram tablets,166,3142
202104,0601022B0AAADAD,Metformin 850mg tablets,16,812
202104,0410030C0AAAFAF,Methadone 1mg/ml oral solution sugar free,1,1050
202104,0601023W0AAAAAA,Pioglitazone 15mg / Metformin 850mg tablets,2,112
202104,0601023B0AAAAAA,Pioglitazone 15mg tablets,16,812
202104,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,232,35789
202105,0604011G0BCAGBR,Estraderm MX 75 patches,29,544
202105,0604011G0BFACBR,Evorel 75 patches,80,1683
202105,0403030E0AAALAL,Fluoxetine 10mg capsules,1151,52112
202105,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,28
202105,0403030E0AAAAAA,Fluoxetine 20mg capsules,2431,137796
202105,0602010V0AABWBW,Levothyroxine sodium 25microgram tablets,25,574
202105,0601022B0AAADAD,Metformin 850mg tablets,19,1348
202105,0601023W0AAAAAA,Pioglitazone 15mg / Metformin 850mg tablets,1,112
202105,0601023B0AAAAAA,Pioglitazone 15mg tablets,19,1320
202105,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,82,12345
202106,0604011G0BCAGBR,Estraderm MX 75 patches,25,480
202106,0604011G0AABRBR,Estradiol 75micrograms/24hours transdermal patches,1,24
202106,0604011G0BFACBR,Evorel 75 patches,56,1248
202106,0403030E0AAALAL,Fluoxetine 10mg capsules,1211,58002
202106,0403030E0AAAAAA,Fluoxetine 20mg capsules,939,43128
202106,0403030E0AAANAN,Fluoxetine 40mg capsules,1,16
202106,0602010V0AABWBW,Levothyroxine sodium 25microgram tablets,5,98
202106,0601022B0AAADAD,Metformin 850mg tablets,4,280
202106,0601023W0AAAAAA,Pioglitazone 15mg / Metformin 850mg tablets,1,56
202106,0601023B0AAAAAA,Pioglitazone 15mg tablets,3,224
202106,0105010E0BBABAB,Salazopyrin EN-Tabs 500mg,1,56
202106,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,13,2037
202107,0604011G0BCAGBR,Estraderm MX 75 patches,4,104
202107,0604011G0BUAABR,Estradot 75micrograms/24hours patches,1,8
202107,0604011G0BFACBR,Evorel 75 patches,7,192
202107,0403030E0AAALAL,Fluoxetine 10mg capsules,1133,54352
202107,0403030E0AAAAAA,Fluoxetine 20mg capsules,661,28609
202107,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,3,476
202108,0604011G0BCAGBR,Estraderm MX 75 patches,1,16
202108,0604011G0BFAABL,Evorel 50 patches,1,8
202108,0604011G0BFACBR,Evorel 75 patches,3,64
202108,0403030E0AAALAL,Fluoxetine 10mg capsules,443,16609
202108,0403030E0AAAPAP,Fluoxetine 10mg tablets,1,30
202108,0403030E0AAAAAA,Fluoxetine 20mg capsules,71,2358
202109,0403030E0AAALAL,Fluoxetine 10mg capsules,342,11558
202109,0403030E0AAAAAA,Fluoxetine 20mg capsules,20,632
202110,0403030E0AAALAL,Fluoxetine 10mg capsules,254,8059
202110,0403030E0AAAPAP,Fluoxetine 10mg tablets,2,56
202111,0212000B0AAABAB,Atorvastatin 20mg tablets,15,533
