dmd_type,dmd_id,dmd_name,bnf_code
VMP,323418000,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,392411000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,683011000001103,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,10711000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,9804611000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,10452211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,21038311000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,20129511000001108,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,24410611000001107,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,21532411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,38081711000001100,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,604211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,11144611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,610511000001102,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,39177211000001100,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,19736211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,738911000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,18719011000001104,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,15311000001105,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
AMP,808511000001109,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD
VMP,323420002,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,94811000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,209811000001108,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,322611000001104,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,9805411000001108,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,10452411000001102,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,21038511000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,20129711000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,37772611000001104,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,21532611000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,38081911000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,189311000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,887811000001107,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,30856011000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,39177611000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,333711000001103,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,18719411000001108,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,289911000001104,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
AMP,770211000001102,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF
VMP,323416001,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,765311000001105,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,35211000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,821311000001102,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,9803511000001108,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,10430511000001103,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,16063111000001105,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,32489211000001105,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,28985911000001106,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,37773011000001102,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,420411000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,78111000001109,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,30856411000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,39176911000001106,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,19730711000001101,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,17954711000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,839711000001102,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,634711000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,29983311000001107,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,799511000001103,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,871611000001108,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,482711000001106,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
AMP,21844711000001100,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ
VMP,9215111000001107,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,9253911000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,31058611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,16165811000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,28097111000001105,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,10452611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,21038711000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,32490911000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,21863211000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,37772411000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,9209211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,39177411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,17954311000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,9308011000001109,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,9842311000001100,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
AMP,21844311000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,0501011P0AAARAR
VMP,9215211000001101,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,0501011P0AAASAS
AMP,9254111000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,0501011P0AAASAS
AMP,31058811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,0501011P0AAASAS
AMP,16166011000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,0501011P0AAASAS
